documentId,category_groups_list
53591,"Sales and Marketing,Advertising,Mobile,Software"
45826,"Mobile,Software,Media and Entertainment,Apps"
76744,"Software,Data and Analytics,Information Technology,Internet Services"
51517,"Hardware,Manufacturing,Consumer Electronics,Energy"
44883,"Financial Services,Software,Data and Analytics,Artificial Intelligence"
60983,"Sales and Marketing,Advertising,Media and Entertainment,Internet Services"
71046,"Media and Entertainment,Video,Internet Services,Education"
3780,"Health Care,Software,Mobile,Hardware"
2782,"Media and Entertainment,Music and Audio,Content and Publishing,Software"
7105,"Design,Software,Internet Services,Sales and Marketing"
49132,"Commerce and Shopping,Design,Clothing and Apparel,Internet Services"
2651,"Hardware,Manufacturing,Consumer Electronics,Science and Engineering"
7515,"Biotechnology,Health Care,Science and Engineering,Food and Beverage"
42233,"Software,Mobile,Information Technology,Hardware"
71054,"Science and Engineering,Hardware,Software,Manufacturing"
52288,"Health Care,Science and Engineering,Biotechnology,Software"
30643,"Information Technology,Internet Services,Sales and Marketing,Software"
50589,"Media and Entertainment,Internet Services,Content and Publishing,Video"
26194,"Information Technology,Software,Internet Services,Hardware"
4500,"Energy,Manufacturing,Hardware,Sustainability"
63904,"Media and Entertainment,Sports,Content and Publishing,Gaming"
16473,"Software,Mobile,Apps,Internet Services"
53851,"Privacy and Security,Information Technology,Hardware,Internet Services"
66878,"Clothing and Apparel,Design,Commerce and Shopping,Community and Lifestyle"
75731,"Education,Software,Media and Entertainment,Hardware"
16590,"Gaming,Software,Media and Entertainment,Video"
77107,"Financial Services,Travel and Tourism,Commerce and Shopping,Internet Services"
140,"Media and Entertainment,Video,Advertising,Sales and Marketing"
56120,"Clothing and Apparel,Design,Commerce and Shopping,Community and Lifestyle"
39051,"Biotechnology,Science and Engineering,Health Care,Manufacturing"
43402,"Food and Beverage,Internet Services,Travel and Tourism,Data and Analytics"
17637,"Software,Information Technology,Sales and Marketing,Internet Services"
56430,"Hardware,Manufacturing,Science and Engineering,Software"
57392,"Sustainability,Energy,Science and Engineering,Manufacturing"
14246,"Media and Entertainment,Video,Gaming,Sports"
35059,"Software,Mobile,Apps,Platforms"
68549,"Financial Services,Software,Payments,Information Technology"
48950,"Energy,Sustainability,Natural Resources,Manufacturing"
73463,"Sales and Marketing,Internet Services,Media and Entertainment,Advertising"
61591,"Software,Information Technology,Internet Services,Data and Analytics"
67779,"Community and Lifestyle,Clothing and Apparel,Commerce and Shopping,Design"
37128,"Sales and Marketing,Advertising,Mobile,Media and Entertainment"
68214,"Manufacturing,Hardware,Consumer Electronics,Science and Engineering"
42130,"Internet Services,Mobile,Media and Entertainment,Software"
19183,"Software,Information Technology,Data and Analytics,Financial Services"
46056,"Software,Hardware,Mobile,Information Technology"
11936,"Internet Services,Media and Entertainment,Software,Community and Lifestyle"
77245,"Software,Mobile,Transportation,Apps"
18530,"Manufacturing,Hardware,Science and Engineering,Consumer Electronics"
8703,"Biotechnology,Science and Engineering,Health Care,Software"
31068,"Mobile,Sales and Marketing,Advertising,Software"
39966,"Software,Mobile,Commerce and Shopping,Sales and Marketing"
60439,"Media and Entertainment,Content and Publishing,Commerce and Shopping,Software"
26897,"Sales and Marketing,Software,Advertising,Information Technology"
53704,"Media and Entertainment,Internet Services,Gaming,Software"
7627,"Energy,Sustainability,Natural Resources,Real Estate"
57066,"Software,Information Technology,Sales and Marketing,Internet Services"
26816,"Video,Media and Entertainment,Software,Mobile"
23771,"Software,Sales and Marketing,Mobile,Advertising"
4872,"Transportation,Software,Mobile,Apps"
50082,"Energy,Sustainability,Software,Information Technology"
56355,"Media and Entertainment,Music and Audio,Software,Education"
36524,"Software,Mobile,Apps,Internet Services"
17224,"Mobile,Software,Transportation,Apps"
76202,"Software,Data and Analytics,Artificial Intelligence,Science and Engineering"
70824,"Hardware,Consumer Electronics,Manufacturing,Information Technology"
41942,"Internet Services,Software,Media and Entertainment,Information Technology"
38265,"Commerce and Shopping,Clothing and Apparel,Design,Consumer Goods"
76881,"Software,Financial Services,Payments,Hardware"
17313,"Software,Mobile,Education,Apps"
56024,"Sales and Marketing,Advertising,Mobile,Software"
17404,"Data and Analytics,Artificial Intelligence,Software,Science and Engineering"
40481,"Financial Services,Software,Internet Services,Media and Entertainment"
36243,"Financial Services,Gaming,Software,Payments"
70675,"Hardware,Software,Science and Engineering,Manufacturing"
1318,"Software,Internet Services,Hardware,Information Technology"
55083,"Internet Services,Mobile,Media and Entertainment,Apps"
42080,"Software,Mobile,Information Technology,Data and Analytics"
65619,"Software,Information Technology,Financial Services,Internet Services"
7111,"Software,Internet Services,Information Technology,Financial Services"
29006,"Media and Entertainment,Content and Publishing,Software,Mobile"
31102,"Media and Entertainment,Events,Community and Lifestyle,Internet Services"
27301,"Commerce and Shopping,Internet Services,Data and Analytics,Software"
333,"Internet Services,Mobile,Media and Entertainment,Messaging and Telecommunications"
27807,"Health Care,Software,Information Technology,Science and Engineering"
23039,"Design,Clothing and Apparel,Commerce and Shopping,Community and Lifestyle"
42449,"Artificial Intelligence,Data and Analytics,Software,Science and Engineering"
