documentId,category_groups_list
53591,"Sales and Marketing,Advertising,Mobile,Software"
45826,"Mobile,Software,Media and Entertainment,Apps"
76744,"Software,Data and Analytics,Information Technology,Internet Services"
51517,"Hardware,Manufacturing,Consumer Electronics,Energy"
44883,"Financial Services,Software,Data and Analytics,Artificial Intelligence"
60983,"Sales and Marketing,Advertising,Media and Entertainment,Internet Services"
71046,"Media and Entertainment,Video,Internet Services,Education"
3780,"Health Care,Software,Mobile,Hardware"
2782,"Music and Audio,Media and Entertainment,Software,Content and Publishing"
7105,"Design,Software,Internet Services,Commerce and Shopping"
49132,"Commerce and Shopping,Clothing and Apparel,Design,Internet Services"
2651,"Hardware,Manufacturing,Consumer Electronics,Science and Engineering"
7515,"Biotechnology,Health Care,Science and Engineering,Food and Beverage"
42233,"Software,Mobile,Information Technology,Apps"
71054,"Science and Engineering,Hardware,Software,Health Care"
52288,"Health Care,Science and Engineering,Software,Biotechnology"
30643,"Information Technology,Internet Services,Sales and Marketing,Software"
50589,"Media and Entertainment,Internet Services,Content and Publishing,Software"
26194,"Information Technology,Software,Internet Services,Hardware"
4500,"Energy,Manufacturing,Hardware,Sustainability"
63904,"Media and Entertainment,Sports,Content and Publishing,Gaming"
16473,"Software,Apps,Mobile,Internet Services"
53851,"Privacy and Security,Information Technology,Hardware,Internet Services"
66878,"Clothing and Apparel,Design,Commerce and Shopping,Community and Lifestyle"
75731,"Education,Software,Hardware,Media and Entertainment"
16590,"Gaming,Software,Media and Entertainment,Hardware"
77107,"Travel and Tourism,Financial Services,Community and Lifestyle,Commerce and Shopping"
140,"Media and Entertainment,Advertising,Video,Content and Publishing"
56120,"Clothing and Apparel,Design,Commerce and Shopping,Community and Lifestyle"
39051,"Biotechnology,Science and Engineering,Health Care,Software"
43402,"Food and Beverage,Internet Services,Travel and Tourism,Data and Analytics"
17637,"Software,Information Technology,Sales and Marketing,Professional Services"
56430,"Hardware,Manufacturing,Software,Science and Engineering"
57392,"Sustainability,Energy,Agriculture and Farming,Manufacturing"
14246,"Media and Entertainment,Video,Gaming,Sports"
35059,"Software,Mobile,Apps,Platforms"
68549,"Financial Services,Software,Payments,Information Technology"
48950,"Energy,Sustainability,Natural Resources,Manufacturing"
73463,"Sales and Marketing,Internet Services,Media and Entertainment,Advertising"
61591,"Software,Internet Services,Information Technology,Data and Analytics"
67779,"Community and Lifestyle,Clothing and Apparel,Design,Commerce and Shopping"
37128,"Advertising,Sales and Marketing,Mobile,Media and Entertainment"
68214,"Manufacturing,Hardware,Consumer Electronics,Science and Engineering"
42130,"Internet Services,Mobile,Media and Entertainment,Software"
19183,"Software,Information Technology,Data and Analytics,Financial Services"
46056,"Software,Hardware,Mobile,Consumer Electronics"
11936,"Internet Services,Media and Entertainment,Software,Community and Lifestyle"
77245,"Software,Mobile,Transportation,Apps"
18530,"Manufacturing,Hardware,Science and Engineering,Software"
8703,"Biotechnology,Science and Engineering,Health Care,Software"
31068,"Sales and Marketing,Mobile,Advertising,Software"
39966,"Software,Commerce and Shopping,Mobile,Food and Beverage"
60439,"Content and Publishing,Media and Entertainment,Commerce and Shopping,Education"
26897,"Sales and Marketing,Advertising,Software,Information Technology"
53704,"Media and Entertainment,Internet Services,Gaming,Content and Publishing"
7627,"Energy,Sustainability,Natural Resources,Real Estate"
57066,"Software,Information Technology,Sales and Marketing,Internet Services"
26816,"Media and Entertainment,Video,Software,Mobile"
23771,"Sales and Marketing,Software,Advertising,Mobile"
4872,"Transportation,Mobile,Software,Apps"
50082,"Energy,Sustainability,Software,Information Technology"
56355,"Music and Audio,Media and Entertainment,Software,Education"
36524,"Software,Mobile,Apps,Internet Services"
17224,"Mobile,Software,Transportation,Apps"
76202,"Software,Data and Analytics,Artificial Intelligence,Science and Engineering"
70824,"Hardware,Consumer Electronics,Manufacturing,Information Technology"
41942,"Internet Services,Software,Media and Entertainment,Information Technology"
38265,"Commerce and Shopping,Clothing and Apparel,Design,Consumer Goods"
76881,"Financial Services,Software,Payments,Hardware"
17313,"Software,Education,Mobile,Apps"
56024,"Sales and Marketing,Advertising,Mobile,Software"
17404,"Data and Analytics,Artificial Intelligence,Software,Science and Engineering"
40481,"Financial Services,Internet Services,Media and Entertainment,Software"
36243,"Financial Services,Payments,Gaming,Software"
70675,"Hardware,Software,Science and Engineering,Manufacturing"
1318,"Software,Hardware,Internet Services,Information Technology"
55083,"Internet Services,Media and Entertainment,Mobile,Apps"
42080,"Software,Information Technology,Mobile,Data and Analytics"
65619,"Software,Information Technology,Financial Services,Internet Services"
7111,"Software,Internet Services,Financial Services,Information Technology"
29006,"Media and Entertainment,Content and Publishing,Software,Mobile"
31102,"Events,Media and Entertainment,Community and Lifestyle,Internet Services"
27301,"Commerce and Shopping,Data and Analytics,Internet Services,Software"
333,"Internet Services,Messaging and Telecommunications,Mobile,Media and Entertainment"
27807,"Health Care,Software,Information Technology,Messaging and Telecommunications"
23039,"Clothing and Apparel,Design,Community and Lifestyle,Commerce and Shopping"
42449,"Artificial Intelligence,Data and Analytics,Software,Science and Engineering"
